# k/h, P(k; min wavelength 10.0 x dx)
1.000000000000000048e-04 8.600524067179176200e+02
1.097498765493056151e-04 6.484742229835218268e+02
1.204503540258782343e-04 4.889442099308767524e+02
1.321941148466029056e-04 3.686585931989222900e+02
1.450828778495939786e-04 2.779634719235747298e+02
1.592282793341092296e-04 2.095795435321293780e+02
1.747528400007684023e-04 1.580183776059346314e+02
1.917910261672488357e-04 1.191415170423531720e+02
2.104904144512020621e-04 8.982866794857532966e+01
2.310129700083159968e-04 6.772707268906421518e+01
2.535364493970111472e-04 5.106276039630528629e+01
2.782559402207124147e-04 3.849814388505613749e+01
3.053855508833415249e-04 2.902468460797468808e+01
3.351602650938842183e-04 2.188194388291936221e+01
3.678379771828633083e-04 1.649654180187752672e+01
4.037017258596553842e-04 1.243616422989319936e+01
4.430621457583879788e-04 9.374834690253473823e+00
4.862601580065353964e-04 7.066773352269155595e+00
5.336699231206308959e-04 5.326663768819640765e+00
5.857020818056665268e-04 4.014773722250130739e+00
6.428073117284320353e-04 3.025749386150051290e+00
7.054802310718643081e-04 2.280154003152346842e+00
7.742636826811267678e-04 1.718093237560164299e+00
8.497534359086441084e-04 1.294407743330079796e+00
9.326033468832196872e-04 9.750481454795910663e-01
1.023531021899026046e-03 7.343414077258164641e-01
1.123324032978027407e-03 5.529314965352178923e-01
1.232846739442065853e-03 4.162246016590885889e-01
1.353047774579806779e-03 3.132171731898056311e-01
1.484968262254464811e-03 2.356134330436224222e-01
1.629750834620643553e-03 1.771588274896489512e-01
1.788649529057434158e-03 1.331378252574324794e-01
1.963040650040270407e-03 9.999538005652869321e-02
2.154434690031883839e-03 7.505134118320641590e-02
2.364489412645407428e-03 5.628514329463909366e-02
2.595024211399734985e-03 4.217359886115162187e-02
2.848035868435801199e-03 3.156836961858017210e-02
3.125715849688235834e-03 2.360380793539928676e-02
3.430469286314916447e-03 1.762731215516959160e-02
3.764935806792466672e-03 1.314690952373998890e-02
4.132012400115335840e-03 9.791709724951530233e-03
4.534878508128581745e-03 7.282115055520681397e-03
4.977023564332110246e-03 5.407384443646258941e-03
5.462277217684339062e-03 4.008731833435857407e-03
5.994842503189405300e-03 2.966613547786485332e-03
6.579332246575679381e-03 2.191138994252047473e-03
7.220809018385459729e-03 1.614843528714327882e-03
7.924828983539173796e-03 1.187196895571493872e-03
8.697490026177831166e-03 8.704101349690063043e-04
9.545484566618333763e-03 6.363041818069836101e-04
1.047615752789664637e-02 4.636568924720000642e-04
1.149756995397735286e-02 0.000000000000000000e+00
1.261856883066020570e-02 0.000000000000000000e+00
1.384886371393872703e-02 0.000000000000000000e+00
1.519911082952932722e-02 0.000000000000000000e+00
1.668100537200058880e-02 0.000000000000000000e+00
1.830738280295367629e-02 0.000000000000000000e+00
2.009233002565045598e-02 0.000000000000000000e+00
2.205130739903045367e-02 0.000000000000000000e+00
2.420128264794380729e-02 0.000000000000000000e+00
2.656087782946683559e-02 0.000000000000000000e+00
2.915053062825175706e-02 0.000000000000000000e+00
3.199267137797381227e-02 0.000000000000000000e+00
3.511191734215131366e-02 0.000000000000000000e+00
3.853528593710527084e-02 0.000000000000000000e+00
4.229242874389495255e-02 0.000000000000000000e+00
4.641588833612777382e-02 0.000000000000000000e+00
5.094138014816376042e-02 0.000000000000000000e+00
5.590810182512223614e-02 0.000000000000000000e+00
6.135907273413170049e-02 0.000000000000000000e+00
6.734150657750816171e-02 0.000000000000000000e+00
7.390722033525776169e-02 0.000000000000000000e+00
8.111308307896866743e-02 0.000000000000000000e+00
8.902150854450377460e-02 0.000000000000000000e+00
9.770099572992249626e-02 0.000000000000000000e+00
1.072267222010322568e-01 0.000000000000000000e+00
1.176811952434997227e-01 0.000000000000000000e+00
1.291549665014883330e-01 0.000000000000000000e+00
1.417474162926803949e-01 0.000000000000000000e+00
1.555676143930471433e-01 0.000000000000000000e+00
1.707352647470689599e-01 0.000000000000000000e+00
1.873817422860382387e-01 0.000000000000000000e+00
2.056512308348650564e-01 0.000000000000000000e+00
2.257019719633918398e-01 0.000000000000000000e+00
2.477076355991710555e-01 0.000000000000000000e+00
2.718588242732939420e-01 0.000000000000000000e+00
2.983647240283336388e-01 0.000000000000000000e+00
3.274549162877727349e-01 0.000000000000000000e+00
3.593813663804621972e-01 0.000000000000000000e+00
3.944206059437651568e-01 0.000000000000000000e+00
4.328761281083056134e-01 0.000000000000000000e+00
4.750810162102797607e-01 0.000000000000000000e+00
5.214008287999679636e-01 0.000000000000000000e+00
5.722367659350213742e-01 0.000000000000000000e+00
6.280291441834251476e-01 0.000000000000000000e+00
6.892612104349689073e-01 0.000000000000000000e+00
7.564633275546283064e-01 0.000000000000000000e+00
8.302175681319743372e-01 0.000000000000000000e+00
9.111627561154879151e-01 0.000000000000000000e+00
9.999999999999991118e-01 0.000000000000000000e+00
